"TEXT","DISEASE","TREATMENT"
"A review of the fetal-maternal carboxyhemoglobin relationships and the differences in fetal oxyhemoglobin physiology are used to explain the recommendation that pregnant women with carbon monoxide poisoning should receive 100 % oxygen therapy for up to five times longer than is otherwise necessary .","['carbon monoxide poisoning']","['oxygen therapy']"
"The authors describe the case of a child with status epilepticus in whom phenytoin was administered via the intraosseous route , and seizure resolution and therapeutic serum levels were achieved .","['status epilepticus']","['phenytoin']"
"A patient suffering baclofen overdose successfully treated with atropine is reported .","['baclofen overdose']","['atropine']"
"Atropine appears to be useful in treating cases of baclofen overdose complicated by bradycardia and hypotension .","['baclofen overdose']","['Atropine']"
"Therapeutic effect of a left ventricular assist device on acute myocardial infarction evaluated by magnetic resonance imaging .","['acute myocardial infarction']","['left ventricular assist device']"
"Continuous arteriovenous hemofiltration for the treatment of anasarca and acute renal failure in severely burned patients .","['anasarca and acute renal failure']","['Continuous arteriovenous hemofiltration']"
"Continuous renal replacement therapy in patients with acute renal dysfunction undergoing intraaortic balloon pump and/or left ventricular device support .","['acute renal dysfunction']","['Continuous renal replacement therapy']"
"Continuous arterio-venous hemofiltration in a wearable device to treat end-stage renal disease .","['end-stage renal disease']","['Continuous arterio-venous hemofiltration']"
"The effectiveness of neostigmine 0.07 mg kg-1 and edrophonium 0.8 mg kg-1 as antagonists of profound neuromuscular blockade induced by vecuronium 0.1 mg kg-1 or atracurium 0.5 mg kg-1 was studied in 59 healthy patients .","['profound neuromuscular blockade']","['neostigmine 0.07 mg kg-1 and edrophonium']"
"Antagonism of atracurium-induced neuromuscular blockade by neostigmine or edrophonium has been studied using the tetanic ( 50 Hz ) and train-of-four ( 2 Hz ) or single twitch responses of the adductor pollicis muscle in 22 anaesthetized patients .","['neuromuscular blockade']","['neostigmine or edrophonium']"
"Active forms of vitamin D3 , 1 alpha-hydroxyvitamin D3 and 1 alpha , 25-dihydroxyvitamin D3 , were administered in an open-design study to 40 patients with psoriasis vulgaris in three to 17 patients 1 alpha-hydroxyvitamin D3 was given orally at a dose of 1.0 micrograms/day for 6 months , to four patients 1 alpha , 25-dihydroxyvitamin D3 was given orally at a dose of 0.5 microgram/day for 6 months , and 19 patients were given 1 alpha , 25-dihydroxyvitamin D3 applied topically at concentration of 0.5 microgram/g of base for 8 weeks .","['psoriasis vulgaris']","['Active forms of vitamin D3 , 1 alpha-hydroxyvitamin D3 and 1 alpha , 25-dihydroxyvitamin D3']"
"These data suggest that psoriasis may respond to active metabolites of vitamin D3 and that abnormalities in vitamin D metabolism or in responsiveness of the skin cells to active metabolites of vitamin D may be involved in the pathogenesis of this skin disease .","['psoriasis']","['active metabolites of vitamin D3']"
"Successful treatment of psoriasis with topical application of active vitamin D3 analogue , 1 alpha , 24-dihydroxycholecalciferol .","['psoriasis']","['active vitamin D3 analogue , 1 alpha , 24-dihydroxycholecalciferol']"
"We suggest that 1 alpha , 24 ( OH ) 2D3 merits further investigation as a potentially useful topical therapy for psoriasis .","['psoriasis']","['1 alpha , 24 ( OH ) 2D3']"
"When indomethacin was applied immediately after irradiation , UVR ( ultraviolet radiation ) dose-dependent suppression of erythema was demonstrated for both wavelengths until 36 h after irradiation when both indomethacin and control gel base-treated sites were equally erythematous .","['erythema']","['indomethacin']"
"Suppression of erythema also occurred when application of indomethacin was delayed until 24 h after irradiation , showing that for both wavelengths prostaglandin synthesis remains increased throughout this period .","['erythema']","['indomethacin']"
"There was one retinal dialysis , and one lens dislocation requiring extraction .","['lens dislocation']","['extraction']"
"Rates of superoxide ( SA ) generation by blood monocytes stimulated ex vivo were studied before and during corticosteroid treatment of rheumatoid arthritis ( RA ) patients , in control patients and in healthy controls .","['rheumatoid arthritis ( RA )']","['corticosteroid']"
"Significant inhibition of monocyte SA output stimulated with IgG-treated zymosan ( ITZ ) and fluoride ion ( F ) , but not serum-treated zymosan ( STZ ) was demonstrated following steroid therapy in RA .","['RA']","['steroid therapy']"
"Methotrexate ( MTX ) appears to be useful in patients with rheumatoid arthritis ( RA ) refractory to other drugs but its long-term toxicity and efficacy are uncertain .","['rheumatoid arthritis ( RA )']","['Methotrexate ( MTX )']"
"MTX in a low-dose regimen is useful in refractory RA and superior to low-dose purine analogues .","['refractory RA']","['MTX']"
"Twelve patients with intractable rheumatoid arthritis were treated with antilymphocyte globulin ( ALG ) , prednisolone and a cytotoxic agent , usually azathioprine , and were followed for 1 year .","['intractable rheumatoid arthritis']","['antilymphocyte globulin ( ALG ) , prednisolone and a cytotoxic agent , usually azathioprine']"
"Rigid ureteroscopy for the treatment of ureteric experience in 120 cases .","['ureteric calculi']","['Rigid ureteroscopy']"
"Over a 1-year period , rigid ureteroscopy has been used to retrieve ureteric calculi in 120 patients .","['ureteric calculi']","['rigid ureteroscopy']"
"Eleven patients with vesicoureteric reflux secondary to neuropathic bladder were treated by endoscopic injection of pyrolised polytetrafluoroethylene ( Polytef ) paste .","['vesicoureteric reflux']","['endoscopic injection of pyrolised polytetrafluoroethylene ( Polytef ) paste']"
"Two hundred and seventy-seven patients with advanced prostatic cancer were treated by either orchiectomy or oestrogen .","['advanced prostatic cancer']","['orchiectomy or oestrogen']"
"Use of scarred flaps and secondary flaps for reconstructive surgery of extensive burns .","['extensive burns']","['reconstructive surgery']"
"A patient with a vesico-enteric fistula was successfully treated with resection of the small intestine and dome of the bladder and drainage of the intervening abscess .","['vesico-enteric fistula']","['resection of the small intestine and dome of the bladder and drainage of the intervening abscess']"
"Supramaximal horizontal rectus surgery in the management of third and sixth nerve palsy .","['third and sixth nerve palsy']","['Supramaximal horizontal rectus surgery']"
"Supramaximal medial and lateral rectus surgery was performed to correct horizontal deviations in seven cases of sixth nerve palsy and three cases of third nerve palsy , with satisfactory results in most cases .","['horizontal deviations in seven cases of sixth nerve palsy and three cases of third nerve palsy']","['Supramaximal medial and lateral rectus surgery']"
"Steroid therapy was also used in two patients with NSAID-induced proteinuria .","['NSAID-induced proteinuria']","['Steroid therapy']"
"Recombinant leukocyte A interferon ( rIFN-alpha A ) in the treatment of disseminated malignant melanoma .","['disseminated malignant melanoma']","['Recombinant leukocyte A interferon ( rIFN-alpha A )']"
"Ninety-six patients with disseminated malignant melanoma received thrice weekly intramuscular injections of leukocyte A recombinant interferon ( rIFN-alpha A , Roferon-A , Hoffmann La Roche ) at doses of 12 X 10 ( 6 ) U/m2 or 50 X 10 ( 6 ) U/m2 with or without cimetidine as an immunorestorative agent .","['disseminated malignant melanoma']","['leukocyte A recombinant interferon ( rIFN-alpha A , Roferon-A , Hoffmann La Roche )']"
"As noted previously , using chemotherapy , a small proportion of patients with advanced malignant melanoma , despite prior therapy , may achieve prolonged objective regression with rIFN-alpha A .","['advanced malignant melanoma']","['rIFN-alpha A']"
"Clinical course of breast cancer patients with osseous metastasis treated with combination chemotherapy .","['osseous metastasis']","['combination chemotherapy']"
"Between July 1973 and December 1979 , 1171 patients with metastatic breast cancer were treated with doxorubicin-containing chemotherapy .","['metastatic breast cancer']","['doxorubicin-containing chemotherapy']"
"Two patients with metastatic dysgerminoma of the ovary were treated with a combination of etoposide , bleomycin , and cisplatin at The University of Texas M.D .","['metastatic dysgerminoma of the ovary']","['a combination of etoposide , bleomycin , and cisplatin']"
"Chemotherapy may be an alternative to radiotherapy for the treatment of metastatic dysgerminoma and should also be considered for selected patients with Stage I disease .","['metastatic dysgerminoma']","['Chemotherapy']"
"Long-term survival and morbidity in patients with metastatic malignant germ cell tumors treated with cisplatin-based combination chemotherapy .","['metastatic malignant germ cell tumors']","['cisplatin-based combination chemotherapy']"
"Treatment of advanced stage mycosis fungoides with bleomycin , doxorubicin , and methotrexate with topical nitrogen mustard ( BAM-M ) .","['advanced stage mycosis fungoides']","['bleomycin , doxorubicin , and methotrexate with topical nitrogen mustard ( BAM-M )']"
"Ten patients with advanced stage ( TNM IIB-IVB ) mycosis fungoides were treated with a combination chemotherapy program consisting of bleomycin and methotrexate weekly , doxorubicin every 3 weeks , and topical nitrogen mustard daily ( BAM-M ) .","['advanced stage ( TNM IIB-IVB ) mycosis fungoides']","['combination chemotherapy program consisting of bleomycin and methotrexate weekly , doxorubicin every 3 weeks , and topical nitrogen mustard daily ( BAM-M )']"
"Three patients in whom splenomegaly was detected during their staging evaluation underwent splenectomy .","['splenomegaly']","['splenectomy']"
"This study indicates that BAM-M is effective therapy for advanced stage mycosis fungoides and suggests that the therapeutic role of splenectomy should be evaluated further .","['advanced stage mycosis fungoides']","['BAM-M']"
"Only patients whose primary head and neck tumor shows a response to systemic therapy undergo Ommaya placement .","['primary head and neck tumor']","['Ommaya placement']"
"Additional chemotherapy may thus have eradicated these micrometastases in the older children , since the age influence on Stage II disease disappeared when multimodal treatment was given in this study .","['micrometastases']","['chemotherapy']"
"Traditional therapy for malignant pleural effusions includes thoracentesis or tube drainage with instillation of irritants to achieve pleurodesis .","['malignant pleural effusions']","['thoracentesis or tube drainage']"
"We feel that pleuroperitoneal shunting is a valid new method for treatment of malignant pleural effusions which can effectively palliate respiratory symptoms with low morbidity .","['malignant pleural effusions']","['pleuroperitoneal shunting']"
"When right ventricular failure prohibits separation from cardiopulmonary bypass , standard methods of increasing pulmonary blood flow should be employed , including correction of hypoxia and acidosis , volume loading , and inotropic support of the right ventricle .","['right ventricular failure']","['standard methods of increasing pulmonary blood flow']"
"For refractory right ventricular failure following the surgical repair of congenital cardiac defects in which the placement of right atrial and pulmonary artery cannulae is not technically feasible , use of high-frequency high-volume ventilation appears to be quite promising .","['refractory right ventricular failure']","['use of high-frequency high-volume ventilation']"
"Current results suggest that RHBP remains the gold standard for severe RV failure , but further clinical experience with PABC may more clearly define its role in the management of RV failure .","['severe RV failure']","['RHBP']"
"Guiding surgical therapy of ventricular tachycardia by preoperative endocardial catheter mapping necessitates improvement of the accuracy of localization of the arrhythmogenic site .","['ventricular tachycardia']","['surgical therapy']"
"However , the results of this study indicate that procainamide may be effective in suppressing the induction of sustained ventricular tachycardia at a relatively low plasma concentration , but not at a higher plasma concentration .","['ventricular tachycardia']","['procainamide']"
"Coronary angioplasty for early postinfarction unstable angina .","['early postinfarction unstable angina']","['Coronary angioplasty']"
"Coronary angioplasty was performed in 53 patients in whom unstable angina had reoccurred after 48 hr and within 30 days after sustained myocardial infarction .","['unstable angina']","['Coronary angioplasty']"
"At 6 months follow-up 26 % ( 14/53 ) of all the patients who underwent angioplasty had recurrence of angina , which was successfully treated with repeat angioplasty , bypass surgery , or medical therapy .","['angina']","['angioplasty', 'repeat angioplasty , bypass surgery , or medical therapy']"
"Coronary dissection and total coronary occlusion leading to emergency coronary surgery are the most frequent complications of percutaneous transluminal coronary angioplasty ( PTCA ) and their occurrence usually is unpredictable .","['Coronary dissection and total coronary occlusion']","['emergency coronary surgery']"
"Effect of zanamivir on duration and resolution of influenza symptoms .","['influenza']","['zanamivir']"
"A comparison of a five-day regimen of cefdinir with a seven-day regimen of loracarbef for the treatment of acute exacerbations of chronic bronchitis .","['chronic bronchitis']","['cefdinir', 'loracarbef']"
"Initial empiric therapy for community-acquired bacterial meningitis should be based on the possibility that penicillin-resistant pneumococci may be the etiologic organisms and , hence , should include a combination of third-generation cephalosporin ( cefotaxime or ceftriaxone ) and vancomycin .","['bacterial meningitis']","['cephalosporin ( cefotaxime or ceftriaxone ) and vancomycin']"
"Ampicillin should be included if the patient has predisposing factors that are associated with a risk for infection with Listeria monocytogenes .","['infection with Listeria monocytogenes']","['Ampicillin']"
"Results of clinical trials and meta-analysis suggest that dexamethasone therapy improves the outcome for patients with bacterial meningitis .","['bacterial meningitis']","['dexamethasone therapy']"
"Placebo-controlled trials have shown that vitamin C supplementation decreases the duration and severity of common cold infections .","['common cold infections']","['vitamin C']"
"Since few trials have examined the effects of therapeutic supplementation and their results have been variable , further therapeutic trials are required to examine the role of vitamin C in the treatment of colds .","['colds']","['vitamin C']"
"Levofloxacin versus intravenous ceftriaxone and amoxicillin/clavulanate in the treatment of community-acquired pneumonia that require hospitalization .","['pneumonia']","['Levofloxacin versus intravenous ceftriaxone and amoxicillin/clavulanate']"
"Overall 1 year survival ( operative deaths excluded ) was 68 % after tumor resection compared to 31 % after palliative surgery ( P < 0.001 ) .","['tumor']","['resection']"
"The results of this study show that resection of extrahepatic bile duct carcinomas , particularly in an upper-third localization , is often associated with worthwhile long-term survival .","['extrahepatic bile duct carcinomas']","['resection']"
"N-acetylcysteine ( NAC ) and ambroxol ( AMB ) have recently been proposed as possible therapeutic agents in the treatment of pulmonary disorders .","['pulmonary disorders']","['N-acetylcysteine ( NAC ) and ambroxol ( AMB )']"
"Antimicrobial therapy for respiratory disease .","['respiratory disease']","['Antimicrobial therapy']"
"Corticosteroids for the treatment of croup .","['croup']","['Corticosteroids']"
"The PR was observed in one patient with non-functioning endocrine pancreatic tumor with progressive liver and lymph node metastases after 16 months of i.m. lanreotide therapy .","['non-functioning endocrine pancreatic tumor with progressive liver and lymph node metastases']","['i.m. lanreotide therapy']"
"Octreotide LAR 20 mg shows significant efficacy in terms of objective response rate ( PR + SD ) , biochemical and symptomatic control in patients with metastatic NETs of the GEP system pretreated and progressing on slow release lanreotide .","['metastatic NETs']","['Octreotide LAR']"
"Inchinko-to ( TJ-135 ) is a herbal medicine consisting of three kinds of crude drugs , and in Japan it is administered mainly to patients with cholestasis .","['cholestasis']","['Inchinko-to ( TJ-135 )']"
"The present study evaluated the effects of TJ-135 on concanavalin A ( con A ) -induced hepatitis in mice in vivo and con A-induced cytokine production in vitro .","['concanavalin A ( con A ) -induced hepatitis']","['TJ-135']"
"These results suggest that con A-induced hepatitis was ameliorated by pretreatment with TJ-135 .","['con A-induced hepatitis']","['TJ-135']"
"Therefore administration of TJ-135 may be useful in patients with severe acute hepatitis accompanying cholestasis or in those with autoimmune hepatitis .","['hepatitis accompanying cholestasis', 'autoimmune hepatitis']","['TJ-135']"
"Zinc lozenges -- a cure for common colds ? .","['common colds']","['Zinc lozenges']"
"T-helper type 2 cell-directed therapy for asthma .","['asthma']","['T-helper type 2 cell-directed therapy']"
"Effects of the Japanese herbal medicine 'Inchinko-to ' ( TJ-135 ) on concanavalin A-induced hepatitis in mice .","['concanavalin A-induced hepatitis']","[""Japanese herbal medicine 'Inchinko-to ' ( TJ-135 )""]"
"Presumed cavernomas have been documented following radiation for malignancy ( 5-6 ) , and sterotactic cerebral biopsy ( 7 ) .","['malignancy']","['radiation']"
"Surgical management of syringomyelia associated with spinal adhesive arachnoiditis .","['syringomyelia associated with spinal adhesive arachnoiditis']","['Surgical management']"
"Discontinuation of secondary prophylaxis for cryptococcal meningitis in HIV-infected patients responding to highly active antiretroviral therapy .","['cryptococcal meningitis']","['antiretroviral therapy']"
"Hepatectomy for cholangiocarcinoma complicated with right umbilical anomalous configuration of the intrahepatic biliary tree .","['cholangiocarcinoma']","['Hepatectomy']"
"Traditionally , the therapy of symptomatic bronchiectasis is based on antibiotics , antibronchoobstructive medication , and chest physical therapy .","['symptomatic bronchiectasis']","['antibiotics , antibronchoobstructive medication , and chest physical therapy']"
"Bilateral lung transplantation should be considered in younger patients with severe , generalized bronchiectasis and respiratory failure .","['bronchiectasis and respiratory failure']","['Bilateral lung transplantation']"
"Prospective , randomized , largescale trials supporting any of the different treatment strategies are not available , but antibiotics and surgery probably have improved the long-term outcome of many patients with bronchiectasis .","['bronchiectasis']","['antibiotics and surgery']"
"Interest in zinc as a treatment for the common cold has grown following the recent publication of several controlled trials .","['common cold']","['zinc']"
"The objective of this review was to assess the effects of zinc lozenges for cold symptoms .","['cold symptoms']","['zinc lozenges']"
"Results from two trials ( 04 - Mossad ; 08 - Smith ) suggested zinc lozenges reduced the severity and duration of cold symptoms .","['cold symptoms']","['zinc lozenges']"
"Given the potential for treatment to produce side effects , the use of zinc lozenges to treat cold symptoms deserves further study .","['cold symptoms']","['zinc lozenges']"
"Randomized trial of interferon-alpha plus ursodeoxycholic acid versus interferon plus placebo in patients with chronic hepatitis C resistant to interferon .","['chronic hepatitis C resistant to interferon']","['interferon-alpha plus ursodeoxycholic acid', 'interferon plus placebo']"
"We describe a rare case of spontaneous rupture of a hepatic metastasis from renal cell carcinoma that was treated successfully by hepatic arterial embolization .","['spontaneous rupture of a hepatic metastasis from renal cell carcinoma']","['hepatic arterial embolization']"
"A 65-year-old woman , who had been undergoing immunotherapy for inoperably disseminated renal carcinoma and lung metastases , presented with severe abdominal pain in a state of hypovolemic shock .","['inoperably disseminated renal carcinoma and lung metastases']","['immunotherapy']"
"Although hepatic rupture due to metastatic cancer is extremely rare , transcatheter arterial embolization ( TAE ) is an appropriate and useful treatment for massive hemorrhage caused by spontaneous rupture of liver metastasis .","['massive hemorrhage caused by spontaneous rupture of liver metastasis']","['transcatheter arterial embolization ( TAE )']"
"Patients with classical symptoms such as heartburn and regurgitation may be treated pharmaceutically combined with life style counselling .","['heartburn and regurgitation']","['pharmaceutically combined with life style counselling']"
"Surgical treatment is a good alternative for patients with persistent severe regurgitation during medical therapy and for young patients who prefer surgery to lifelong medication .","['persistent severe regurgitation']","['Surgical treatment']"
"The surgical treatment of lung lacerations and major bronchial disruptions caused by blunt thoracic trauma .","['lung lacerations and major bronchial disruptions']","['surgical treatment']"
"An increasing number of reports indicate symptomatic relief of biliary colic symptoms after cholecystectomy for biliary dyskinesia .","['biliary dyskinesia']","['cholecystectomy']"
"Despite this , cholecystectomy as a treatment for biliary dyskinesia remains controversial .","['biliary dyskinesia']","['cholecystectomy']"
"Our aim was to determine efficacy of cholecystectomy in alleviating biliary dyskinesia symptoms and the correlation with histologic findings .","['biliary dyskinesia symptoms']","['cholecystectomy']"
"Biliary dyskinesia patients who underwent cholecystectomy had significantly greater symptom improvement compared with nonsurgical patients .","['Biliary dyskinesia']","['cholecystectomy']"
"Cholecystectomy should be a first-line therapy for biliary dyskinesia patients .","['biliary dyskinesia']","['Cholecystectomy']"
"Transbronchial biopsy revealed inflammatory nonspecific alveolar lesions suggestive of bronchiolitis obliterans organizing pneumonia , which responded well clinically and radiologically to oral corticosteroids .","['inflammatory nonspecific alveolar lesions suggestive of bronchiolitis obliterans organizing pneumonia']","['oral corticosteroids']"
"Novel treatment strategies for patients with advanced NSCLC may involve chemotherapy combined with inhibition of NF-kappaB-dependent cell-survival pathways .","['advanced NSCLC']","['chemotherapy']"
"Effectiveness of pseudoephedrine plus acetaminophen for treatment of symptoms attributed to the paranasal sinuses associated with the common cold .","['common cold']","['pseudoephedrine plus acetaminophen']"
"This retrospective study was designed to confirm that aggressive pulmonary resection can provide effective long-term palliation of disease for patients with pulmonary aspergilloma .","['pulmonary aspergilloma']","['aggressive pulmonary resection']"
"METHODS AND From 1959 to 1998 , 84 patients underwent a total of 90 operations for treatment of pulmonary aspergilloma in the Marie-Lannelongue Hospital .","['pulmonary aspergilloma']","['operations']"
"The lesion was resected by video-assisted thoracoscopic surgery because it was suspected of being a lung abscess that had caused repeated episodes of inflammation .","['lesion']","['video-assisted thoracoscopic surgery']"
"In this study , we investigated the expression and therapeutic potential of TRAIL in cholangiocarcinoma , one of the most devastating human hepatic malignancies .","['cholangiocarcinoma']","['TRAIL']"
"Finally , in vivo administration of recombinant TRAIL substantially inhibited subcutaneous tumor growth of human cholangiocarcinoma cells .","['cholangiocarcinoma']","['TRAIL']"
"Induction of apoptosis in tumor cells is possible with a biologically active TRAIL , and suggests that this cytokine is a promising antitumor agent against human cholangiocarcinoma .","['human cholangiocarcinoma']","['TRAIL']"
"Interferon plays a critical role in the host 's natural defense against viral infections and in their treatment .","['viral infections']","['Interferon']"
"This study investigated whether intensive chemotherapy might have a positive effect on asthma in these special cases and whether asthma generally relapses after completion of chemotherapy .","['asthma']","['chemotherapy']"
"The authors monitored clinical outcome and lung function of 43 children with acute lymphoblastic leukemia and non-Hodgkin lymphoma who received chemotherapy at the University Children 's Hospital of Greifswald between 1993 and 1998 .","['acute lymphoblastic leukemia and non-Hodgkin lymphoma']","['chemotherapy']"
"She was diagnosed as miliary tuberculosis and treated with antituberculous drugs .","['miliary tuberculosis']","['antituberculous drugs']"
"The hemorrhage was successfully stopped by microcoil embolization .","['hemorrhage']","['microcoil embolization']"
"Immunomodulatory effects of acupuncture in the treatment of allergic a randomized controlled study .","['allergic asthma']","['acupuncture']"
"An open-label study of lamivudine for chronic hepatitis B in six patients with chronic renal failure before and after kidney transplantation .","['chronic hepatitis B']","['lamivudine']"
"The WDTA is an intrinsically motivating educational program that has the ability to effect determinants of asthma self-management behavior in 9- to 13-year-old children with asthma .","['asthma']","['self-management']"
"Usefulness of percutaneous transhepatic biliary drainage in patients with surgical jaundice -- a prospective randomised study .","['surgical jaundice']","['percutaneous transhepatic biliary drainage']"
"Neutralization of hepatitis A virus ( HAV ) by an immunoadhesin containing the cysteine-rich region of HAV cellular receptor-1 .","['hepatitis A virus ( HAV )']","['immunoadhesin containing the cysteine-rich region of HAV cellular receptor-1']"
"To ascertain the results of standard ABVD chemotherapy ( doxorubicin , bleomycin , vinblastine , dacarbazine ) in HIV-infected patients with newly diagnosed Hodgkin 's disease ( HD ) , a nonrandomized , prospective , multiinstitutional clinical trial was conducted by the AIDS Clinical Trials Group ( ACTG ) , in HIV-infected patients with Hodgkin 's disease .","[""newly diagnosed Hodgkin 's disease ( HD )""]","['standard ABVD chemotherapy ( doxorubicin , bleomycin , vinblastine , dacarbazine )']"
"The effectiveness of glucocorticoids in treating meta-analysis ( see comments ) .","['croup']","['glucocorticoids']"
"Inhaled corticosteroids have beneficial effects on pulmonary function and inflammation in patients with asthma , but they also cause systemic adverse effects , such as adrenal suppression .","['asthma']","['corticosteroids']"
"Effectiveness of casein hydrolysate feedings in infants with colic ( see comments ) .","['colic']","['casein hydrolysate']"
"We conclude that antimicrobial/ antituberculous agents have only a minor short-term effect in long-lasting CGM of undetermined cause .","['CGM']","['antimicrobial/ antituberculous agents']"
"Thus , s-ECP appears to be a useful marker for determining when a step-down in iBDP therapy is indicated , and thus may contribute to successful long-term management of chronic asthma .","['chronic asthma']","['iBDP therapy']"
"To assess the impact on community-based pediatricians of the conclusions of the 10th Conference de Consensus en Therapeutique Anti-Infectieuse ( CCTAI ) on the antibiotic treatment in acute nasopharyngitis ( ANP ) .","['acute nasopharyngitis ( ANP )']","['antibiotic treatment']"
"We assessed the prevalence of head louse infestation and the effectiveness of 1 % permethrin against head lice in Kosovar refugees .","['head lice']","['1 % permethrin']"
"Refugees with crawling lice were treated with a pediculicide containing 1 % permethrin .","['crawling lice']","['pediculicide containing 1 % permethrin']"
"We conclude that 1 % permethrin treatment was effective in louse control in this refugee population .","['louse']","['1 % permethrin treatment']"
"Antibiotics for Salmonella meningitis in children .","['Salmonella meningitis']","['Antibiotics']"
"Four patients developed mild pancreatitis , one had moderate pancreatitis and one had leak of contrast , which was treated by administration of clear fluids orally for one day .","['pancreatitis', 'pancreatitis']","['administration of clear fluids']"
"We treated two children with influenza-associated acute encephalopathy by a combination of mild hypothermia and steroid pulse therapy .","['influenza-associated acute encephalopathy']","['combination of mild hypothermia and steroid pulse therapy']"
"Successful treatment of anaerobic pleuropulmonary infections requires a combination of antibiotic therapy and surgical interventions .","['anaerobic pleuropulmonary infections']","['combination of antibiotic therapy and surgical interventions']"
"Treatment of spontaneous carotid-cavernous fistula in Ehlers-Danlos syndrome by transvenous occlusion with Guglielmi detachable coils .","['spontaneous carotid-cavernous fistula in Ehlers-Danlos syndrome']","['transvenous occlusion with Guglielmi detachable coils']"
"Macrolide antibiotics are frequently prescribed to patients with symptoms of a common cold .","['symptoms of a common cold']","['Macrolide antibiotics']"
"Because the symptoms of rhinovirus colds are attributed to the inflammatory response to infection , we studied the effects of treatment with clarithromycin on the symptomatic and inflammatory response to nasal inoculation with rhinovirus .","['rhinovirus']","['clarithromycin']"
"Therapeutic pneumothorax ( TP ) proved its efficacy in pre-antibiotic era , so one can assume that it can be applied with the same success in multidrug resistant TB .","['multidrug resistant TB']","['Therapeutic pneumothorax ( TP )']"
"In conclusion , in some cases of MDR TB , the TP ( if there are no pleural adherences ) may lead to good results .","['MDR TB']","['TP']"
"Acupuncture treatment of common cold .","['common cold']","['Acupuncture']"
"When bleeding is stopped via surgical or radiological methods , the clinical course of hemobilia-associated pancreatitis appears to be benign .","['bleeding']","['surgical or radiological methods']"
"A case of biliary stenosis in polycystic liver improved by injection of minocycline hydrochloride to a hepatic cyst .","['biliary stenosis']","['injection of minocycline hydrochloride']"
"The ruptured horn was excised by laparotomy .","['ruptured horn']","['laparotomy']"
"Therapy designed to control the efferent phase of established asthma by augmenting down-regulatory Th1 counterbalancing mechanisms should be effective .","['efferent phase of established asthma']","['augmenting down-regulatory Th1 counterbalancing mechanisms']"
"All children with croup symptoms who demonstrate increased work of breathing in the clinics or emergency departments should be treated with glucocorticoids .","['croup']","['glucocorticoids']"
"Increasing resistance among the common respiratory pathogens has encouraged assessment of alternative agents , for example , levofloxacin .","['common respiratory pathogens']","['levofloxacin']"
"Unlike earlier quinolones , levofloxacin has excellent activity against Streptococcus pneumoniae , including strains resistant to penicillin .","['Streptococcus pneumoniae']","['levofloxacin']"
"Clinical trials show levofloxacin to be as effective as cephalosporins in acute exacerbation of chronic bronchitis and as effective as co-amoxiclav , cephalosporins or amoxycillin in community-acquired pneumonia .","['chronic bronchitis', 'community-acquired pneumonia']","['levofloxacin']"
"Additionally , epidemiologic evidence of a marked decline in new KS since the widespread use of highly active antiretroviral therapy ( HAART ) advocates its use .","['KS']","['highly active antiretroviral therapy ( HAART )']"
"Gingyo-san and its components were administered orally to mice 1 day before , then 1 and 4 days after the inhalation of a mouse-adopted strain of influenza A2 ( H2N2 ) virus .","['mouse-adopted strain of influenza A2 ( H2N2 ) virus']","['Gingyo-san']"
"From these results Gingyo-san was shown to be an antiviral agent in mice infected with a lethal amount of a mouse-adopted strain of influenza A2 virus .","['mouse-adopted strain of influenza A2 virus']","['Gingyo-san']"
"The purpose of the present study was to analyze the association of recurrent abdominal pain and H. pylori infection in children and to evaluate the efficacy of antimicrobial treatment in patients with evidence of infection .","['infection']","['antimicrobial treatment']"
"Patients with evidence of infection with H. pylori were treated with a combination of omeprazole , amoxicillin , and clarithromycin .","['infection with H. pylori']","['combination of omeprazole , amoxicillin , and clarithromycin']"
"Treatment with omeprazole , amoxicillin , and clarithromycin resulted in eradication of the infection in all and in resolution of the clinical symptoms in 15 ( 80 % ) of 19 patients who had a follow-up examination .","['infection']","['omeprazole , amoxicillin , and clarithromycin']"
"A combined therapy results in eradication of the bacterium and in improvement of the clinical symptoms in a significant majority of the patients .","['bacterium']","['combined therapy']"
"In certain clinical settings , interventional radiologic procedures have become an important alternative to surgery in the treatment of gallstones and their complications ; techniques include percutaneous cholecystostomy and gallstone removal .","['gallstones']","['interventional radiologic procedures', 'percutaneous cholecystostomy and gallstone removal']"
"The administration of salbutamol is permitted only by inhalation by the International Olympic Committee ( IOC ) for the management of asthma and exercise-induced asthma in athletes .","['asthma and exercise-induced asthma']","['salbutamol']"
"Urine was also obtained from subjects who had received the maximum dosage of inhaled salbutamol advisable for competing athletes to provide protection from exercise-induced asthma and treatment of asthma ( 1600 microg in 24 h , 800 microg being in the last 4 h ) .","['asthma']","['salbutamol']"
"Antimicrobials were prescribed to 175 ( 83.73 per cent ) patients with common cold and 78 ( 82.11 per cent ) patients with diarrhea .","['common cold', 'diarrhea']","['Antimicrobials']"
"to evaluate the possible existence of the so-called < Roux-en-Y syndrome > in a group of 21 patients who underwent surgery to correct postoperative alkaline reflux gastritis .","['postoperative alkaline reflux gastritis']","['surgery']"
"All had undergone Billroth II subtotal gastrectomy ( 20 for ulcer and 1 for gastric cancer ) .","['ulcer', 'gastric cancer']","['Billroth II subtotal gastrectomy']"
